id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2021-01-01 19:00:00;5626.69000000;2666.69200000;213.13000000;0E-8;5555.91500000;2950.59700000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 19:00:00;43239.54500000;13774.73600000;7732.98600000;0.11400000;64747.38000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 19:00:00;27535.84200000;7578.63600000;0E-8;0.11400000;37790.39600000;-2675.80400000
S;SUL;2021-01-01 19:00:00;3640.15900000;1149.53700000;584.02099999;0E-8;10137.88599999;-4764.16900000
NE;NORDESTE;2021-01-01 20:00:00;6418.14100000;2374.78199999;7273.84099999;0E-8;11263.33199999;4803.43200000
N;NORTE;2021-01-01 20:00:00;5855.17499999;2666.78799999;179.50800000;0E-8;5695.15100000;3006.32000000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 20:00:00;44604.56100000;13818.72100000;8001.10500000;0E-8;66424.39000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 20:00:00;28686.11800000;7633.33499999;0E-8;0E-8;38483.22700000;-2163.77400000
S;SUL;2021-01-01 20:00:00;3645.12700000;1143.81600000;547.75600000;0E-8;10982.67700000;-5645.97800000
NE;NORDESTE;2021-01-01 21:00:00;6432.20900000;2367.66000000;7317.35599999;0E-8;11460.14899999;4657.07600000
N;NORTE;2021-01-01 21:00:00;5593.03800000;2666.27999999;201.14900000;0E-8;5819.27899999;2641.18799999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 21:00:00;44064.06600000;13847.36500000;8055.07300000;0E-8;65966.50000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 21:00:00;28689.27599999;7668.59600000;0E-8;0E-8;37977.06399999;-1619.19200000
S;SUL;2021-01-01 21:00:00;3349.54300000;1144.82900000;536.56800000;0E-8;10710.01200000;-5679.07200000
NE;NORDESTE;2021-01-01 22:00:00;6447.69600000;2365.63600000;7244.60399999;0E-8;11571.94699999;4485.98899999
N;NORTE;2021-01-01 22:00:00;5594.51900000;2687.96799999;252.02400000;0E-8;5928.28200000;2606.22899999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 22:00:00;43041.62300000;13885.75100000;8068.16200000;0E-8;64995.54000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 22:00:00;28028.53500000;7680.47899999;0E-8;0E-8;37108.69499999;-1399.68099999
S;SUL;2021-01-01 22:00:00;2970.87299999;1151.66799999;571.53400000;0E-8;10386.61199999;-5692.53700000
NE;NORDESTE;2021-01-01 23:00:00;5586.00499999;2361.16100000;7462.40599999;0E-8;11311.01799999;4098.55400000
N;NORTE;2021-01-01 23:00:00;5081.22000000;2738.12500000;295.55200000;0E-8;5953.64500000;2161.25200000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 23:00:00;40422.54300000;13937.94300000;8303.02300000;0E-8;62663.51000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 23:00:00;27533.72200000;7689.79100000;0E-8;0E-8;35584.78200000;-361.26900000
S;SUL;2021-01-01 23:00:00;2221.59600000;1148.86599999;545.06500000;0E-8;9814.06400000;-5898.53700000
NE;NORDESTE;2021-01-02 00:00:00;4586.43700000;2410.85400000;7671.83500000;0E-8;10969.29700000;3699.82900000
N;NORTE;2021-01-02 00:00:00;4865.57699999;2892.57600000;297.77900000;0E-8;5906.03999999;2149.89200000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-02 00:00:00;37669.41100000;13653.00000000;8456.98200000;0E-8;59779.39000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-02 00:00:00;26528.74900000;7140.02600000;0E-8;0E-8;33749.10400000;-80.32900000
